"filename", "language", "XML", "Java", "Java Properties", "Batch", "comment", "blank", "total"
"d:\hotel-backend\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 2, 0, 0, 1, 3
"d:\hotel-backend\mvnw.cmd", "Batch", 0, 0, 0, 102, 51, 36, 189
"d:\hotel-backend\pom.xml", "XML", 47, 0, 0, 0, 0, 4, 51
"d:\hotel-backend\src\main\java\com\ksu\hotel\HotelReservationAppication.java", "Java", 0, 43, 0, 0, 0, 11, 54
"d:\hotel-backend\src\main\java\com\ksu\hotel\dao\BookingRepository.java", "Java", 0, 7, 0, 0, 0, 8, 15
"d:\hotel-backend\src\main\java\com\ksu\hotel\dao\CustomerRepository.java", "Java", 0, 5, 0, 0, 0, 5, 10
"d:\hotel-backend\src\main\java\com\ksu\hotel\dao\HotelRepository.java", "Java", 0, 4, 0, 0, 0, 4, 8
"d:\hotel-backend\src\main\java\com\ksu\hotel\dao\PaymentRepository.java", "Java", 0, 3, 0, 0, 0, 3, 6
"d:\hotel-backend\src\main\java\com\ksu\hotel\model\Booking.java", "Java", 0, 68, 0, 0, 0, 8, 76
"d:\hotel-backend\src\main\java\com\ksu\hotel\model\Customer.java", "Java", 0, 53, 0, 0, 0, 8, 61
"d:\hotel-backend\src\main\java\com\ksu\hotel\model\Hotel.java", "Java", 0, 3, 0, 0, 0, 3, 6
"d:\hotel-backend\src\main\java\com\ksu\hotel\model\Payment.java", "Java", 0, 3, 0, 0, 0, 3, 6
"d:\hotel-backend\src\main\resources\application.properties", "Java Properties", 0, 0, 7, 0, 0, 1, 8
"d:\hotel-backend\src\test\java\com\ksu\hotel\HotelReservationAppicationTests.java", "Java", 0, 9, 0, 0, 0, 5, 14
"Total", "-", 47, 198, 9, 102, 51, 100, 507
