"filename", "language", "Batch", "XML", "Java Properties", "Java", "comment", "blank", "total"
"c:\Users\sahit\Documents\workspace-spring-tool-suite-4-4.16.0.RELEASE\hotel-backend\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 2, 0, 0, 1, 3
"c:\Users\sahit\Documents\workspace-spring-tool-suite-4-4.16.0.RELEASE\hotel-backend\mvnw.cmd", "Batch", 102, 0, 0, 0, 51, 36, 189
"c:\Users\sahit\Documents\workspace-spring-tool-suite-4-4.16.0.RELEASE\hotel-backend\pom.xml", "XML", 0, 47, 0, 0, 0, 4, 51
"c:\Users\sahit\Documents\workspace-spring-tool-suite-4-4.16.0.RELEASE\hotel-backend\src\main\java\com\ksu\hotel\HotelReservationAppication.java", "Java", 0, 0, 0, 44, 0, 11, 55
"c:\Users\sahit\Documents\workspace-spring-tool-suite-4-4.16.0.RELEASE\hotel-backend\src\main\java\com\ksu\hotel\dao\BookingRepository.java", "Java", 0, 0, 0, 7, 0, 8, 15
"c:\Users\sahit\Documents\workspace-spring-tool-suite-4-4.16.0.RELEASE\hotel-backend\src\main\java\com\ksu\hotel\dao\CustomerRepository.java", "Java", 0, 0, 0, 5, 0, 5, 10
"c:\Users\sahit\Documents\workspace-spring-tool-suite-4-4.16.0.RELEASE\hotel-backend\src\main\java\com\ksu\hotel\dao\HotelRepository.java", "Java", 0, 0, 0, 0, 7, 1, 8
"c:\Users\sahit\Documents\workspace-spring-tool-suite-4-4.16.0.RELEASE\hotel-backend\src\main\java\com\ksu\hotel\dao\PaymentRepository.java", "Java", 0, 0, 0, 3, 0, 3, 6
"c:\Users\sahit\Documents\workspace-spring-tool-suite-4-4.16.0.RELEASE\hotel-backend\src\main\java\com\ksu\hotel\model\Booking.java", "Java", 0, 0, 0, 68, 0, 8, 76
"c:\Users\sahit\Documents\workspace-spring-tool-suite-4-4.16.0.RELEASE\hotel-backend\src\main\java\com\ksu\hotel\model\Customer.java", "Java", 0, 0, 0, 53, 0, 8, 61
"c:\Users\sahit\Documents\workspace-spring-tool-suite-4-4.16.0.RELEASE\hotel-backend\src\main\java\com\ksu\hotel\model\Hotel.java", "Java", 0, 0, 0, 0, 5, 1, 6
"c:\Users\sahit\Documents\workspace-spring-tool-suite-4-4.16.0.RELEASE\hotel-backend\src\main\java\com\ksu\hotel\model\Payment.java", "Java", 0, 0, 0, 3, 0, 3, 6
"c:\Users\sahit\Documents\workspace-spring-tool-suite-4-4.16.0.RELEASE\hotel-backend\src\main\resources\application.properties", "Java Properties", 0, 0, 7, 0, 0, 1, 8
"c:\Users\sahit\Documents\workspace-spring-tool-suite-4-4.16.0.RELEASE\hotel-backend\src\test\java\com\ksu\hotel\HotelReservationAppicationTests.java", "Java", 0, 0, 0, 488, 0, 140, 628
"Total", "-", 102, 47, 9, 671, 63, 230, 1122
